N_e,N_b,M_e,M_b,K,p,c,t,rf,theta_e,theta_b,precision_e,precision_b,CF_BL,BL
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.1,1000,100,-2.204710906320195e-24,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.1,100,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.15,100,10,-5.9928128119049315e-06,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.15,1000,10,-4.727762456011518e-11,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.1,1000,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.15,1000,100,-4.990259801632342e-21,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.05,10,100,0.09707340289807476,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.15,1000,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.05,100,100,4.915279657397456e-14,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.05,10,10,1.157397104746002,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.25,100,100,-9.348485866394845e-08,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.15,10,10,1.1798927936820445,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.05,1000,100,-6.757422513225217e-29,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.25,1000,100,-5.469804919500693e-15,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.3,100,100,-1.587376882359562e-06,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.35,10,1000,1.1761526776400935,-279.73842632128367
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.15,100,100,-1.5437862916217992e-10,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.05,10,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.05,100,10,-3.1068289050021004e-06,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.39999999999999997,1000,1000,-0.6964781320328963,-268.0270730117829
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.3,100,1000,-7.80894856780795e-15,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.3,1000,100,-2.6319145288829425e-12,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.25,1000,1000,-2.6151912681616767e-52,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.05,1000,10,-1.1345020764719957e-11,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.25,10,100,0.9069581144634884,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.05,100,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.1,10,10,1.1667673800685012,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.2,100,100,-4.339508988244978e-09,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.15,10,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.35,10,100,1.2053415626760997,-317.8576326747244
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.2,10,10,1.1822468945557474,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.3,1000,10,-7.406932958924894e-10,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.3,10,1000,0.16871995916470156,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.05,1000,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.25,1000,10,-1.90397053372035e-10,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.15,100,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.25,100,10,-1.1392269116719834e-05,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.39999999999999997,10,1000,0.680135268971638,-268.07055320701
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.35,100,1000,-0.00012841880016062733,-279.69494612597146
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.25,10,1000,0.00032939381694216456,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.3,100,10,-2.1342036461704932e-05,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.25,10,10,1.1978110501718144,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.2,10,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.2,100,10,-1.1392269116819607e-05,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.3,10,100,1.1113491765596653,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.2,1000,10,-1.90397053372035e-10,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.2,100,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.35,100,10,-2.1342036461659707e-05,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.39999999999999997,100,1000,-0.6715879951394867,-268.0270730116978
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.2,1000,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.49999999999999994,100,1000,-0.7999999999917413,-268.00000000032185
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.3,1000,1000,-3.812262817683651e-26,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.44999999999999996,1000,1000,-0.8000000000004621,-268.0000013586366
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.35,1000,1000,-3.526298811648373e-08,-279.69494612605655
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.35,100,100,-2.134203646461218e-05,-317.8141524794122
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.39999999999999997,10,100,1.194858929041752,-272.24119972306767
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.35,1000,100,-7.406932958924894e-10,-317.8141524794973
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.44999999999999996,10,1000,0.5543487621149156,-268.0434815538637
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.5499999999999999,10,1000,0.5543487909885998,-268.04348019577793
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.5499999999999999,100,1000,-0.7999999999917413,-268.00000000046566
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.49999999999999994,10,1000,0.5543487909826392,-268.04348019563406
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.39999999999999997,100,100,-0.0003940856204587056,-272.19771952775545
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.25,100,1000,1.6879827860750264e-24,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.49999999999999994,1000,1000,-0.8000000000004621,-268.00000000040694
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.35,1000,10,-7.406932958924894e-10,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.3,10,10,1.2013944653977489,0
